sub,trl,cpos,cdur,resp,rt,type,d1,d2,correct,rt_new,c_s,inCm,UCL
5,214,1,380,2,0.475,2,380,500,1,0.475,0.7819200024737881,FALSE,0.5522503199549426
5,501,2,700,2,0.475,2,500,700,1,0.475,0.7841008024490502,FALSE,0.5522687002543543
5,43,1,580,2,0.476,1,580,500,0,0.39599999999999996,0.7762597944245597,FALSE,0.5522867085161858
5,98,1,660,1,0.476,1,660,500,1,0.31599999999999995,0.7784971964803141,FALSE,0.5523043523972545
5,578,2,580,2,0.476,2,500,580,1,0.476,0.780712224515511,FALSE,0.5523216393916536
5,121,1,420,1,0.478,2,420,500,0,0.478,0.7729051022703559,FALSE,0.55233857683442
5,242,2,700,2,0.478,2,500,700,1,0.478,0.7751760512476523,FALSE,0.5523551719051131
5,424,2,620,2,0.479,2,500,620,1,0.479,0.7774242907351758,FALSE,0.5523714316313024
5,491,1,460,2,0.479,2,460,500,1,0.479,0.7796500478278241,FALSE,0.552387362891971
5,453,1,660,1,0.48,1,660,500,1,0.31999999999999995,0.7818535473495458,FALSE,0.5524029724208335
5,108,1,500,2,0.481,3,500,500,0,0.481,NA,empty,NA
5,407,1,660,1,0.481,1,660,500,1,0.32099999999999995,0.7840350118760504,FALSE,0.5524332525110054
5,181,1,300,2,0.483,2,300,500,1,0.483,0.7861946617572899,FALSE,0.5524479358421481
5,188,2,380,1,0.483,1,500,380,1,0.363,0.788332715139717,FALSE,0.5524623229872396
5,583,2,660,2,0.483,2,500,660,1,0.483,0.7904493879883199,FALSE,0.5524764200006672
5,601,2,380,1,0.483,1,500,380,1,0.363,0.7925448941084366,FALSE,0.5524902328098314
5,495,2,580,2,0.484,2,500,580,1,0.484,0.7946194451673523,FALSE,0.552503767217941
5,497,1,580,1,0.488,1,580,500,1,0.408,0.7966732507156787,FALSE,0.5525170289067407
5,291,1,620,1,0.489,1,620,500,1,0.369,0.7987065182085219,FALSE,0.5525300234391736
5,374,1,420,2,0.489,2,420,500,1,0.489,0.8007194530264367,FALSE,0.5525427562619812
5,449,1,660,1,0.489,1,660,500,1,0.32899999999999996,0.8027122584961723,FALSE,0.5525552327082415
5,158,2,380,1,0.49,1,500,380,1,0.37,0.8046851359112106,FALSE,0.552567457999846
5,468,2,500,1,0.49,3,500,500,0,0.49,NA,empty,NA
5,640,1,660,2,0.49,1,660,500,0,0.32999999999999996,0.7966382845520985,FALSE,0.5525911754651871
